marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_model_display_name,vehicle_transmission_type,kms,price,state,year
2010 BMW series 3,blue,DIESEL,BMW,SERIES 3,AUTOMATIC,172321,5800,QLD,2010
2014 Audi A6,white,DIESEL,AUDI,A6,AUTOMATIC,125187,18499,QLD,2014
2008 Honda Accord,black,PETROL,HONDA,ACCORD,AUTOMATIC,157000,6900,QLD,2008
2024 Ford Ranger,white,PETROL,FORD,RANGER,AUTOMATIC,28500,85000,QLD,2024
2018 Kia Picanto,white,PETROL,KIA,PICANTO,AUTOMATIC,229479,8500,QLD,2018
2020 Renault Master,white,DIESEL,RENAULT,MASTER,AUTOMATIC,111000,24000,QLD,2020
2015 Toyota Corolla,blue,PETROL,TOYOTA,COROLLA,AUTOMATIC,177000,14500,QLD,2015
2015 Ford Ranger,white,DIESEL,FORD,RANGER,AUTOMATIC,220000,6000,QLD,2015
2010 Suzuki Swift,white,PETROL,SUZUKI,SWIFT,AUTOMATIC,229700,6900,QLD,2010
2012 Nissan Navara,grey,DIESEL,NISSAN,NAVARA,MANUAL,230000,11000,QLD,2012
2011 Holden Commodore,white,OTHER,HOLDEN,COMMODORE,AUTOMATIC,184000,10000,QLD,2011
2002 Holden Ute,gold,OTHER,HOLDEN,UTE,MANUAL,207000,17000,QLD,2002
2013 Subaru Impreza,white,PETROL,SUBARU,IMPREZA,AUTOMATIC,140000,9500,QLD,2013
2016 Kia Rio,charcoal,PETROL,KIA,RIO,MANUAL,87000,8000,QLD,2016
2020 Volkswagen Polo,black,PETROL,VOLKSWAGEN,POLO,AUTOMATIC,81886,13500,QLD,2020
2015 Mercedes-Benz s400h,silver,PETROL,MERCEDES-BENZ,S400H,AUTOMATIC,56000,37500,QLD,2015
2011 Hyundai i30,white,DIESEL,HYUNDAI,I30,MANUAL,245000,4500,QLD,2011
2003 Ford Fairlane,white,PETROL,FORD,FAIRLANE,AUTOMATIC,700000,15900,QLD,2003
2009 Land Rover TDV8 range rover sport,red,DIESEL,LAND-ROVER,RANGE ROVER SPORT,AUTOMATIC,171000,27990,QLD,2009
