marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_transmission_type,kms,price,state,year,vehicle_model_display_name_0,performance_metrics,luxury,size,body_style,drivetrain,vehicle_model_display_name,description
2013 Toyota Camry,black,PETROL,TOYOTA,AUTOMATIC,384000,8700,NSW,2013,Camry,3.0,2.5,3.0,Sedan,FWD,CAMRY,CAMRY
2016 Isuzu D-Max,white,DIESEL,ISUZU,MANUAL,134000,18500,NSW,2016,D-Max,3.5,2.5,4.0,Dual-Cab UTE,4WD,D-MAX,D-MAX
2019 Ford Ranger,black,DIESEL,FORD,AUTOMATIC,51000,42000,NSW,2019,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER,RANGER
2016 Toyota Corolla,red,PETROL,TOYOTA,AUTOMATIC,94627,16800,VIC,2016,Corolla,2.5,2.5,2.0,Hatchback,FWD,COROLLA,COROLLA
2001 Holden Ute,orange,PETROL,HOLDEN,MANUAL,300000,9500,WA,2001,Ute,3.0,2.0,4.0,UTE,RWD,UTE,UTE
2012 Volkswagen Scirocco R,grey,PETROL,VOLKSWAGEN,AUTOMATIC,170000,18990,WA,2012,scirocco r,4.0,3.5,2.0,Liftback,FWD,SCIROCCO,SCIROCCO-R
2023 Toyota Yaris,white,HYBRID,TOYOTA,AUTOMATIC,44983,32999,WA,2023,Yaris,2.5,2.5,1.5,Hatchback,FWD,YARIS,YARIS
2012 Jeep Compass,silver,PETROL,JEEP,MANUAL,180000,8000,QLD,2012,Compass,2.5,2.0,2.0,Compact SUV,FWD,COMPASS,COMPASS
2012 Nissan X-Trail,brown,PETROL,NISSAN,AUTOMATIC,155420,12500,QLD,2012,X-Trail,3.0,2.5,3.0,SUV,4WD,X-TRAIL,X-TRAIL
2013 Subaru Forester,grey,PETROL,SUBARU,AUTOMATIC,140000,11500,QLD,2013,Forester,3.0,3.0,3.0,SUV,AWD,FORESTER,FORESTER
2018 Subaru WRX,red,PETROL,SUBARU,AUTOMATIC,117000,24000,SA,2018,WRX,4.0,2.5,2.0,Sedan,AWD,WRX,WRX
2024 Hyundai i30,grey,HYBRID,HYUNDAI,AUTOMATIC,110000,22750,VIC,2024,i30,3.0,3.5,2.0,Hatchback,FWD,I30,I30
2021 Mitsubishi ASX Exceed,black,PETROL,MITSUBISHI,AUTOMATIC,138000,21500,WA,2021,asx exceed,2.0,3.5,2.0,Compact SUV,FWD,ASX,ASX
2017 Renault Megane,silver,PETROL,RENAULT,AUTOMATIC,134000,7500,WA,2017,Megane,3.0,3.5,2.0,Hatchback,FWD,MEGANE,MEGANE
2018 Mercedes-Benz GLA 250,white,OTHER,MERCEDES-BENZ,AUTOMATIC,92000,24500,WA,2018,gla-class,3.5,4.0,2.0,Compact SUV,AWD,GLA,GLA-250
2017 Mitsubishi Lancer,silver,PETROL,MITSUBISHI,AUTOMATIC,156981,13800,WA,2017,Lancer,2.5,2.0,2.0,Sedan,FWD,LANCER,LANCER
2023 Isuzu D-Max,white,DIESEL,ISUZU,AUTOMATIC,60000,53500,WA,2023,D-Max,3.5,3.0,4.0,Dual-Cab UTE,4WD,D-MAX,D-MAX
