marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_transmission_type,kms,price,state,year,vehicle_model_display_name_0,performance_metrics,luxury,size,body_style,drivetrain,vehicle_model_display_name
2013 Toyota Camry,black,PETROL,TOYOTA,AUTOMATIC,384000,8700,NSW,2013,Camry,3.0,2.5,3.0,Sedan,FWD,CAMRY
2018 Peugeot 308,blue,PETROL,PEUGEOT,AUTOMATIC,152000,8979,NSW,2018,308,3.0,3.5,2.0,Hatchback,FWD,308
2009 Suzuki Boulevard M90,black,OTHER,SUZUKI,MANUAL,35140,8500,NSW,2009,Boulevard M90,3.5,2.0,1.0,Motorbike,RWD,BOULEVARD-M90
2016 Isuzu D-Max,white,DIESEL,ISUZU,MANUAL,134000,18500,NSW,2016,D-Max,3.5,2.5,4.0,Dual-Cab UTE,4WD,D-MAX
2019 Ford Ranger,black,DIESEL,FORD,AUTOMATIC,51000,42000,NSW,2019,Ranger,3.5,2.5,4.0,Dual-Cab UTE,4WD,RANGER
2005 Suzuki DL,silver,OTHER,SUZUKI,MANUAL,48000,2500,NSW,2005,DL,2.5,2.0,2.0,SUV,4WD,DL
2016 Toyota Corolla,red,PETROL,TOYOTA,AUTOMATIC,94627,16800,VIC,2016,Corolla,2.5,2.5,2,Hatchback,FWD,COROLLA
2022 Kia stonic,red,PETROL,KIA,AUTOMATIC,56000,19990,VIC,2022,stonic,2.5,2.5,2,Compact SUV,FWD,STONIC
2009 Holden ssv,red,PETROL,HOLDEN,AUTOMATIC,155000,35000,SA,2009,ssv,4.0,3.5,4.0,Sedan,RWD,SSV
2007 Ford Fairmont,silver,PETROL,FORD,AUTOMATIC,296000,7500,SA,2007,Fairmont,3.0,2.5,4.0,Sedan,RWD,FAIRMONT
2001 Holden Ute,orange,PETROL,HOLDEN,MANUAL,300000,9500,WA,2001,Ute,3.0,2.0,4.0,UTE,RWD,UTE
2021 KTM 390,black,OTHER,KTM,MANUAL,15300,5000,WA,2021,390,2.5,1.5,1.0,Motorcycle,2WD,390
2013 KTM Duke,white,OTHER,KTM,MANUAL,20000,2500,WA,2013,Duke,4.0,2.5,1.5,Motorcycle,2-Wheel Drive,DUKE
2001 Suzuki Hayabusa,blue,OTHER,SUZUKI,MANUAL,106300,10500,WA,2001,Hayabusa,5.0,1.5,1.0,Motorcycle,RWD,HAYABUSA
2012 Volkswagen Scirocco R,grey,PETROL,VOLKSWAGEN,AUTOMATIC,170000,18990,WA,2012,scirocco r,4.0,3.5,2.0,Liftback,FWD,SCIROCCO-R
2008 Mazda 3 neo,grey,PETROL,MAZDA,MANUAL,200450,5750,WA,2008,3 neo,2.5,2.5,2,Hatchback,FWD,3
2011 Honda Shadow,blue,OTHER,HONDA,MANUAL,18000,5500,WA,2011,Shadow,,,,,,
2023 Toyota Yaris,white,HYBRID,TOYOTA,AUTOMATIC,44983,32999,WA,2023,Yaris,2.5,2.5,1.5,Hatchback,FWD,YARIS
2017 HSV maloo gts-r,white,PETROL,HSV,AUTOMATIC,43155,146999,WA,2017,maloo gts-r,4.5,4.0,4,Dual-Cab UTE,RWD,MALOO-GTS-R
2018 Suzuki 650,black,OTHER,SUZUKI,MANUAL,34175,6400,QLD,2018,650,3.5,2.0,2.0,Motorbike,2WD,650
2012 Jeep Compass,silver,PETROL,JEEP,MANUAL,180000,8000,QLD,2012,Compass,2.5,2.0,2.0,Compact SUV,FWD,COMPASS
2012 Nissan X-Trail,brown,PETROL,NISSAN,AUTOMATIC,155420,12500,QLD,2012,X-Trail,3.0,2.5,3.0,SUV,4WD,X-TRAIL
2022 KTM 450,orange,OTHER,KTM,MANUAL,4360,7700,QLD,2022,450,5.0,1.0,1.0,TRACTOR,4WD,450
2013 Subaru Forester,grey,PETROL,SUBARU,AUTOMATIC,140000,11500,QLD,2013,Forester,3.0,3.0,3.0,SUV,AWD,FORESTER
2018 Subaru WRX,red,PETROL,SUBARU,AUTOMATIC,117000,24000,SA,2018,WRX,4.0,2.5,2.0,Sedan,AWD,WRX
2024 Hyundai i30,grey,HYBRID,HYUNDAI,AUTOMATIC,110000,22750,VIC,2024,i30,3.0,3.5,2.0,Hatchback,FWD,I30
2021 Mitsubishi ASX Exceed,black,PETROL,MITSUBISHI,AUTOMATIC,138000,21500,WA,2021,asx exceed,2.0,3.5,2.0,Compact SUV,FWD,ASX
2013 Honda NC700,grey,OTHER,HONDA,MANUAL,82316,3200,WA,2013,NC700,2.5,2.0,2.0,Motorcycle,Other,NC700
2017 Renault Megane,silver,PETROL,RENAULT,AUTOMATIC,134000,7500,WA,2017,Megane,3.0,3.5,2.0,Hatchback,FWD,MEGANE
2018 Mercedes-Benz GLA 250,white,OTHER,MERCEDES-BENZ,AUTOMATIC,92000,24500,WA,2018,gla-class,3.5,4.0,2.0,Compact SUV,AWD,GLA-250
2017 Mitsubishi Lancer,silver,PETROL,MITSUBISHI,AUTOMATIC,156981,13800,WA,2017,Lancer,2.5,2.0,2.0,Sedan,FWD,LANCER
2023 Isuzu D-Max,white,DIESEL,ISUZU,AUTOMATIC,60000,53500,WA,2023,D-Max,3.5,3.0,4.0,Dual-Cab UTE,4WD,D-MAX
2014 Hyundai Veloster,white,OTHER,HYUNDAI,AUTOMATIC,164248,11500,NSW,2014,Veloster,2.5,2.5,2.0,Liftback,FWD,VELOSTER
2005 Nissan Pulsar,gold,OTHER,NISSAN,AUTOMATIC,170000,3500,NSW,2005,Pulsar,2.5,2.0,2.0,Hatchback,FWD,PULSAR
2022 Haval h6gt,black,PETROL,HAVAL,AUTOMATIC,20000,32000,NSW,2022,h6gt,3.0,3.5,3.5,Liftback,AWD,H6GT
2017 Toyota Corolla,blue,PETROL,TOYOTA,AUTOMATIC,210000,14000,NSW,2017,Corolla,2.5,3.0,2.0,Hatchback,FWD,COROLLA
2011 BMW X6,white,DIESEL,BMW,AUTOMATIC,100000,16000,VIC,2011,X6,4.0,4.5,4.0,SUV,AWD,X6
2023 Volkswagen t-roc,grey,PETROL,VOLKSWAGEN,AUTOMATIC,31500,34500,VIC,2023,t-roc,3.0,3.5,2.0,Compact SUV,FWD,T-ROC
2017 Subaru Impreza,grey,PETROL,SUBARU,AUTOMATIC,235000,10000,VIC,2017,Impreza,3.0,2.5,2.0,Hatchback,AWD,IMPREZA
2015 Renault Master,white,ELECTRIC,RENAULT,AUTOMATIC,302700,16500,VIC,2015,Master,1.0,1.0,5.0,Cargo Van,FWD,MASTER
2004 Ford Falcon XR8,blue,PETROL,FORD,AUTOMATIC,270000,14500,VIC,2004,falcon xr8,4.5,3.5,4,Sedan,RWD,FALCON-XR8
2020 Haval H6,white,PETROL,HAVAL,AUTOMATIC,340000,8000,VIC,2020,h6,3.0,3.0,3.0,SUV,FWD,H6
2002 Ford Falcon,purple,OTHER,FORD,AUTOMATIC,406000,2500,SA,2002,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON
2022 Toyota Kluger ,blue,HYBRID,TOYOTA,AUTOMATIC,30000,48000,SA,2022,kluger,4.0,3.5,4.0,Large SUV,AWD,KLUGER
2013 Ford Kuga,white,PETROL,FORD,AUTOMATIC,200600,3000,SA,2013,Kuga,3.0,3.0,3.0,Compact SUV,AWD,KUGA
2016 Hyundai Tucson,white,PETROL,HYUNDAI,AUTOMATIC,125000,13500,SA,2016,Tucson,2.5,3.5,3,Compact SUV,FWD,TUCSON
2008 Toyota Landcruiser 200,blue,DIESEL,TOYOTA,AUTOMATIC,387000,31990,SA,2008,Landcruiser 200,3.5,4.0,5.0,Large SUV,4WD,LAND-CRUISER
2016 Isuzu D-Max,white,DIESEL,ISUZU,AUTOMATIC,241000,15800,QLD,2016,D-Max,3.5,2.5,4.0,Dual-Cab UTE,4WD,D-MAX
2015 Nissan Qashqai,white,PETROL,NISSAN,AUTOMATIC,140000,9200,QLD,2015,Qashqai,2.5,2.5,2.5,Compact SUV,FWD,QASHQAI
2016 Mazda BT-50,white,DIESEL,MAZDA,MANUAL,181000,19990,QLD,2016,BT-50,3.5,3.0,4.5,Dual-Cab UTE,4WD,BT-50
2013 Ford Focus,grey,PETROL,FORD,AUTOMATIC,163800,6000,SA,2013,Focus,2.8,2.5,2,Hatchback,FWD,FOCUS
2009 KTM EXC,white,OTHER,KTM,MANUAL,1234,5500,VIC,2009,EXC,4.0,2.0,1.0,Motorcycle,Unknown,EXC
2008 Mazda CX-9,white,PETROL,MAZDA,AUTOMATIC,205078,3300,NSW,2008,CX-9,3.5,3.5,4,Large SUV,AWD,CX-9
2010 Volkswagen Passat,grey,PETROL,VOLKSWAGEN,AUTOMATIC,158100,6500,NSW,2010,Passat,3.0,3.5,3.0,Sedan,FWD,PASSAT
2007 Honda Cr85 ,red,OTHER,HONDA,MANUAL,1111,3500,NSW,2007,CR,,,,,,CR85
2003 Mercedes-Benz E320,silver,PETROL,MERCEDES-BENZ,AUTOMATIC,240000,4500,WA,2003,e-class,3.8,4.5,3,Sedan,RWD,E320
2012 Suzuki GSR750 ,white,OTHER,SUZUKI,MANUAL,56000,5500,WA,2012,gsr750,4.0,2.5,2.0,Coupe,RWD,GSR750
2008 Suzuki APV,white,OTHER,SUZUKI,MANUAL,128000,11000,WA,2008,APV,1.5,1.0,4.0,Cargo Van,RWD,APV
2013 Audi A3,grey,PETROL,AUDI,AUTOMATIC,199000,8300,VIC,2013,A3,3.0,4.0,2.0,Hatchback,FWD,A3
2022 KTM EXC,orange,OTHER,KTM,MANUAL,12345,10000,VIC,2022,EXC,4.5,2.0,1.0,Motorcycle,4WD,EXC
2001 Honda Custom,black,OTHER,HONDA,MANUAL,24442,3000,VIC,2001,Custom,,,,,,
2007 Ford Falcon,white,PETROL,FORD,AUTOMATIC,221971,8499,VIC,2007,Falcon,3.0,2.5,4.0,Sedan,RWD,FALCON
2009 MINI Cooper,grey,PETROL,MINI,AUTOMATIC,176000,6900,SA,2009,Cooper,3.0,3.5,1.0,Hatchback,FWD,COOPER
2010 Suzuki SX4,white,OTHER,SUZUKI,AUTOMATIC,141000,8950,SA,2010,SX4,2.5,2.0,2.0,Hatchback,AWD,SX4
2009 KTM EXC,white,OTHER,KTM,MANUAL,7854,5300,SA,2009,EXC,4.0,2.0,1.0,Motorcycle,Unknown,EXC
2019 Kia Seltos,white,PETROL,KIA,AUTOMATIC,125000,19990,SA,2019,seltos,3.2,3.5,2.5,Compact SUV,FWD,SELTOS
2014 Holden Commodore,red,PETROL,HOLDEN,AUTOMATIC,168397,34000,QLD,2014,Commodore,3.5,3.0,4.0,Sedan,RWD,COMMODORE
2005 Toyota Crown,white,PETROL,TOYOTA,AUTOMATIC,197000,11000,SA,2005,Crown,2.5,3.0,3.5,Sedan,RWD,CROWN
2006 Ford Courier,white,DIESEL,FORD,MANUAL,179000,2600,SA,2006,Courier,2.0,1.5,4.0,Dual-Cab UTE,4WD,COURIER
2005 Toyota RAV4,white,PETROL,TOYOTA,AUTOMATIC,282000,3900,QLD,2005,RAV4,3.0,3.0,2.0,Compact SUV,AWD,RAV4
2015 Holden ls3,white,OTHER,HOLDEN,MANUAL,57000,25000,SA,2015,ls3,4.5,4.0,4.0,Sedan,RWD,LS3
2011 BMW F800R PROJECT BIKE,white,OTHER,BMW,MANUAL,29000,2999,SA,2011,f800r project bike,3.5,4.0,1.0,Motorcycle,RWD,F800R
2011 Holden Commodore,silver,PETROL,HOLDEN,AUTOMATIC,169000,8500,SA,2011,Commodore,3.0,2.5,4.0,Sedan,RWD,COMMODORE
2014 Toyota Corolla Ascent,white,OTHER,TOYOTA,AUTOMATIC,183300,9600,SA,2014,Corolla,2.5,2.0,2.0,Hatchback,FWD,COROLLA
2010 Honda Accord,white,PETROL,HONDA,AUTOMATIC,255000,5500,QLD,2010,Accord,3.0,3.5,3.0,Sedan,FWD,ACCORD
2009 Mercedes-Benz SLK200,grey,PETROL,MERCEDES-BENZ,AUTOMATIC,134000,15900,QLD,2009,slk-class,3.0,4.0,2.0,Convertible,RWD,SLK200
2018 BMW r ninet option 719,black,OTHER,BMW,MANUAL,10200,15000,QLD,2018,r ninet option 719,3.5,4.0,2.0,Coupe,RWD,R-NINET
2019 Subaru Outback,white,PETROL,SUBARU,AUTOMATIC,38000,18500,QLD,2019,Outback,3.2,3.5,4,Crossover,AWD,OUTBACK
2012 Kia Rio,black,PETROL,KIA,MANUAL,159300,5800,QLD,2012,Rio,2.5,2.0,1.0,Hatchback,FWD,RIO
2011 Peugeot 508,white,PETROL,PEUGEOT,AUTOMATIC,241000,8000,QLD,2011,508,3.0,3.5,3.0,Sedan,FWD,508
2011 Kia Sorento,brown,PETROL,KIA,AUTOMATIC,141194,11000,VIC,2011,Sorento,2.5,3.0,4.0,Large SUV,4WD,SORENTO
